,skblid,description,detail,occupationtype,from,place
1735,AnnaMariaChristinaSymondsOhlin,Studieorganisatör,Kursorganisatör för Vita Bandet,Ideellt arbete,,
1736,SigridSynnergren,Textilkonstnär,"Textilkonstnär, egen firma, Södra Sveriges Kyrkliga Textil (SSKT)",Yrke,"{'comment': '1939', 'date': '1939'}","{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
1737,EvaChristinaSafstrom,Skådespelare,"Skådespelare, Stenborgs teater",Yrke,"{'comment': '1788', 'date': '1788'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1738,EleonoraSafstrom,Lärare,Lärare vid flickpension,Yrke,"{'comment': '1807', 'date': '1807'}","{'pin': {'lat': 55.429505, 'lon': 13.820031}, 'place': 'Ystad'}"
1739,AnnaSarstrom,Agitator,,Yrke,"{'comment': '1912', 'date': '1912'}",
1740,KarinSoder,Diplomat,FN-delegat,Yrke,"{'comment': '1976', 'date': '1976'}","{'pin': {'lat': '40.712784', 'lon': '-74.005941'}, 'place': 'New York, USA'}"
1741,BarbroKerstinElisabetSoderberg,Professor,"Professor, Institutionen för nordiska språk, Stockholms universitet",Yrke,"{'comment': '1988', 'date': '1988'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1742,AnnaSoderblom,Representativ verksamhet,Representativ verksamhet som ärkebiskopinna,Ideellt arbete,"{'comment': '1914', 'date': '1914'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
1743,AlmaSoderhjelm,Socialt och filantropiskt arbete,Välgörenhetsarbete för Finlands sak i Sverige,Ideellt arbete,{'comment': '1940-talet'},
1744,MargitSoderholm,Författare,Författare,Yrke,"{'comment': '1940', 'date': '1940'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1745,GerdaAugustaSoderlund,Fotograf,"Fotograf, egen ateljé, filialer i Gagnef fr o m 1901, Borlänge fr o m 1903, Insjön fr o m 1904 och Mockfjärd",Yrke,"{'comment': '1895', 'date': '1895'}","{'pin': {'lat': 60.730308, 'lon': 14.999892}, 'place': 'Leksand'}"
1746,AgnesSoderquist,Socialt och filantropiskt arbete,"Initiativtagare, semesterhem för husmödrar på Almö-Lindö",Ideellt arbete,"{'comment': '1931', 'date': '1931'}","{'pin': {'lat': 59.552778, 'lon': 16.6}, 'place': 'Almö-Lindö'}"
1747,ElisabethSoderstrom,Konstnärlig ledare,"Konstnärlig ledare, Drottningholms slottsteater",Yrke,"{'comment': '1993', 'date': '1993'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1748,KlaraMargretaSoderwall,Lärare,"Lärare, dramapedagog, Commediagruppen, Huddinge gymnasium",Yrke,"{'comment': '1974', 'date': '1974'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1749,AnnaSorensen,Inspektor,"Inspektor, Folkskoleseminariet i Stockholm",Yrke,"{'comment': '1935', 'date': '1935'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1750,IngridAmaliaPySorman,Författare,Författare,Yrke,"{'comment': '1921', 'date': '1921'}",
1751,KatarinaTaikon,Ansvarig utgivare,"Utgivare, Amé beschás/Vi bor",Yrke,"{'comment': '1966', 'date': '1966'}",
1752,RosaTaikon,Silversmed,"Silversmed, smyckekonstnär",Yrke,"{'comment': '1966', 'date': '1966'}",
1753,AlfhildTamm,Tidskriftsredaktör,"Grundare och svensk redaktör, Nordisk tidsskrift for tale og stemme",Ideellt arbete,"{'comment': '1936', 'date': '1936'}",
1754,ElisabethTamm,Skribent,"Skribent, bl a Tidevarvet, Vi kvinnor",Yrke,{'comment': '1920-talet'},"{'pin': {'lat': '59.151918', 'lon': '16.092045'}, 'place': 'Julita'}"
1755,MartaTammGotlind,"Arkivbiträde, folkminnesupptecknare","Arkivbiträde, folkminnesupptecknare vid Landsmålsarkivet, Uppsala",Yrke,,"{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
1756,AinoTaube,Skådespelare,"Skådespelare, Stockholm 1931–1953; 1955–1984, Malmö 1953–1954",Yrke,"{'comment': '1931', 'date': '1931'}",
1757,AstriTaube,"Skulptör, konstnär",,Yrke,{'comment': '1920-tal'},
1758,EllinorGunnelAstriElisabetTaube,Konstnär,Konstnär,Yrke,"{'comment': '1964', 'date': '1964'}",
1759,HedvigTaube,Kunglig mätress,Kunglig mätress,Ideellt arbete,"{'comment': '1734', 'date': '1734'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1760,GunhildTegen,Socialt och filantropiskt arbete,"Medgrundare, Sveriges första hem- och skolaförening",Ideellt arbete,,
1761,AliceTegner,Kompositör,Tonsättare,Yrke,"{'comment': '1867', 'date': '1867'}",
1762,HennyFredrikaTegstrom,Ledamot,"Suppleant, Luleå stads barnavårdsnämnd",Ideellt arbete,{'comment': '1930-talet'},"{'pin': {'lat': 65.584819, 'lon': 22.156703}, 'place': 'Luleå'}"
1763,ToraAdelheidTeje,Skådespelare,"Skådespelare, bl a Dramaten, Svenska Teatern, Riksteatern, radioteatern m fl",Yrke,"{'comment': '1911', 'date': '1911'}",
1764,IdaKarolinaTelland,Donator,Donator,Ideellt arbete,"{'comment': '1912', 'date': '1912'}","{'pin': {'lat': 59.597698, 'lon': 15.222911}, 'place': 'Lindesberg'}"
1765,HannaEstridTenggren,Översättare,Översättare,Yrke,{'comment': '1950-talet'},
1766,BirgitTengroth,Journalist,"Journalist, krönikör, bl a Året runt, Vi",Yrke,"{'comment': '1951', 'date': '1951'}",
1767,ElnaTenow,Författare,"Författare, kåsör",Yrke,"{'comment': '1887', 'date': '1887'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1768,KarinKajSofiaTenow,Regissör,"Regissör, bl a reklam- och informationsfilm",Yrke,"{'comment': '1938', 'date': '1938'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1769,AinoTernstedtOniOkpaku,Verksamhetsgrundare,"Grundare, Erubodo Foundation, föreståndare, The Erubodo House",Yrke,"{'comment': '1997', 'date': '1997'}","{'pin': {'lat': 6.453056, 'lon': 3.395833}, 'place': 'Lagos, Nigeria'}"
1770,EllenTerserus,Lärare,"Lärare, biträdande föreståndare, Elementarskolan för flickor (Ahlströmska skolan)",Yrke,"{'comment': '1907', 'date': '1907'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1771,MariaTesch,Fotograf,"Fotograf, egen ateljé",Yrke,"{'comment': '1873', 'date': '1873'}","{'pin': {'lat': 58.410807, 'lon': 15.621373}, 'place': 'Linköping'}"
1772,HildaThegerstrom,Lärare,"Pianolärare, Kungliga Musikaliska Akademiens konservatorium",Yrke,"{'comment': '1872', 'date': '1872'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1773,IngaThelander,Författare,Författare,Yrke,"{'comment': '1953', 'date': '1953'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1774,AnnaMariaThelott,Konstnär,,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1775,EbbaTheorinKolare,Författare,,Yrke,"{'comment': '1934', 'date': '1934'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1776,ThoraThersner,Konstnär,"Grafiker, tecknare",Yrke,{'comment': '?'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1777,LisaThomassonLappLisa,Sångare,"Vissångare, turnerande",Yrke,"{'comment': '1896', 'date': '1896'}",
1778,AnnaLisaThomson,Formgivare,"Formgivare, Uppsala-Ekeby",Yrke,"{'comment': '1933', 'date': '1933'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
1779,KerstinThorborg0,Sångare,"Opera- och konsertsångare, Europa och USA",Yrke,"{'comment': '1924', 'date': '1924'}",
1780,HildegardKatarinaThorell,Konstnär,Konstnär,Yrke,{'comment': '1870-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1781,IdaThoresen,Konstnär,,Yrke,"{'comment': '1897', 'date': '1897'}",
1782,IngeborgThorin,Fotograf,"Porträttfotograf, Ateljé Thorin",Yrke,"{'comment': '1917', 'date': '1917'}","{'pin': {'lat': 58.2173363, 'lon': 16.1402175}, 'place': 'Åtvidaberg'}"
1783,WalborgThorsell,Forskare,"Forskare, parasitologi, Försvarets forskningsanstalt (FOA)",Yrke,{'comment': 'Ca 1970'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1784,IngaThorsson,Diplomat,"Ordförande, svenska delegationen, FN:s nedrustningskonferens",Yrke,"{'comment': '1974', 'date': '1974'}","{'pin': {'lat': '46.204391', 'lon': '6.143158'}, 'place': 'Genève, Schweiz'}"
1785,KerstinThorvall,Författare,"Författare, kåsör, skribent",Yrke,"{'comment': '1957', 'date': '1957'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1786,AnnaThulin,Lärare,"Kursledare, August Abrahamsons Stiftelse, Nääs",Yrke,"{'comment': '1929', 'date': '1929'}","{'pin': {'lat': 57.8083, 'lon': 12.361999999999966}, 'place': 'Floda'}"
1787,ElsaHarrietThulin,Journalist,"Journalist, kulturskribent, debattör",Yrke,{'comment': '1930-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1788,IngridThulin,Skådespelare,Skådespelare vid Stockholm stadsteater,Yrke,"{'comment': '1960', 'date': '1960'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1789,AnneMarieThunberg,Sakkunnig,"Ledamot, Delegationen för långsiktigt motiverad forskning inom Forskningsrådsnämnden (FRN)",Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1790,KarinThunbergArfwidsson,Rallyförare,Rallyförare,Yrke,"{'comment': '1926', 'date': '1926'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1791,BirgitThuring0,Företagare,"Medgrundare, ägare, AB Avia (senare Salair, senare Skyways)",Yrke,"{'comment': '1942', 'date': '1942'}","{'pin': {'lat': 57.6348, 'lon': 18.29484}, 'place': 'Visby'}"
1792,NellyThuring,Riksdagsledamot,"Riksdagsledamot, Sveriges socialdemokratiska arbetareparti (SAP)",Yrke,"{'comment': '1922', 'date': '1922'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1793,SaraThastrom,Kommun- och landstingspolitiker,"Ledamot, Helsingborgs stadsfullmäktige",Ideellt arbete,"{'comment': '1913', 'date': '1913'}","{'pin': {'lat': 56.046467, 'lon': 12.6945121}, 'place': 'Helsingborg'}"
1794,CharlottaCharlotteCeciliaafTibell,Författare,"Psalmförfattare, skribent",Yrke,"{'comment': '1862', 'date': '1862'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1795,IngaTidblad,Skådespelare,"Skådespelare, teater och film, 1922–1925 Svenska teatern, 1925 Vasateatern, 1926–1931 Oscarsteatern, fr o m 1932 Kungliga Dramatiska Teatern",Yrke,"{'comment': '1922', 'date': '1922'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1796,KarinKajsMariaTidholm,Tidskriftsredaktör,"Journalist, redaktör, frilans för bl a Husmodern, Hem och samhälle, ICA-kuriren, Svensk Handel, Vecko-Journalen, Fri köpenskap",Yrke,"{'comment': '1960', 'date': '1960'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1797,UllaTillander,Styrelseledamot,"Ledamot, försäkringsbolaget Ansvar",Yrke,"{'comment': '1987', 'date': '1987'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1798,BrittaAnnaIngegerdTingdal,Styrelseledamot,"Styrelseledamot, Göteborgs botaniska trädgård",Ideellt arbete,,"{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1799,YingToijerNilsson,Redaktör,"Redaktör, utgivare, kommenterade brevsamlingar av Selma Lagerlöf",Yrke,{'comment': '1990-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1800,HildaAugustaTonning,Kommun- och landstingspolitiker,"Ledamot, Ronneby kommunfullmäktige",Ideellt arbete,"{'comment': '1918', 'date': '1918'}","{'pin': {'lat': 56.210434, 'lon': 15.2760229}, 'place': 'Ronneby'}"
1801,FridaTeresiaTeresTorgrim,Brevbärare,Postutlämning från bostaden,Yrke,"{'comment': '1951', 'date': '1951'}","{'pin': {'lat': 66.383333, 'lon': 23.666667}, 'place': 'Övertorneå'}"
1802,HuldaIngegerdTorhamn,Textilkonstnär,Textilkonstnär,Yrke,{'comment': '1920-talet'},
1803,HenrikaCharlottaTornberg,Skrivbiträde,"Skrivbiträde, Lunds universitetsbibliotek",Yrke,"{'comment': '1886', 'date': '1886'}","{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
1804,UllaTorpe,"Författare, kulturjournalist",,Yrke,,
1805,RagnviTorslowLundgren,Förbundsordförande,"Ordförande, Sveriges Kvinnliga Bilkårers Riksförbund (SKBR)",Ideellt arbete,"{'comment': '1942', 'date': '1942'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1806,SaraFredrikaTorsslow,Skådespelare,"Skådespelare, lärare för de kvinnliga eleverna, Mindre teatern",Yrke,"{'comment': '1843', 'date': '1843'}",
1807,KerstinMargaretaTovi,Översättare,Översättare,Yrke,,
1808,GiselaTrapp,Kyrklig verksamhet,"Donator, konstnär, engagerad, S:t Clemens katolska församling, Helsingborg, samt byggherre, katolskt kapell, Arild 1920",Ideellt arbete,"{'comment': '1918', 'date': '1918'}",
1809,UllaElisabetTrenter,Översättare,Översättare,Yrke,{'comment': '2000-talet'},"{'pin': {'lat': 59.26203809999999, 'lon': 17.22311000000002}, 'place': 'Mariefred'}"
1810,UllaTrepkow,Kassör,"Kassör för Frälsningsarméns sociala arbete, Frälsningsarméns högkvarter",Yrke,"{'comment': '1970', 'date': '1970'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1811,EllenAnnaMariaAnnikaTretow,Skådespelare,"Skådespelare, bl a Dramaten 1956—1959, Stockholms stadsteater 1960—1977",Yrke,{'comment': '1940-talet'},
1812,IngegerdTroedsson,Styrelseledamot,"Styrelseledamot, Lantmäteriverket, Industri AB Euroc, AB Skandinaviska Elverk, Skandinaviska Enskilda Banken, Vegete, Wasa liv, Stiftelsen Svenska Dagbladet mfl",Yrke,,
1813,AliceTrolleWachtmeister,Hovdam,Överhovmästarinna,Yrke,"{'comment': '1994', 'date': '1994'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1814,BirgittaTrotzig,Litteraturkritiker,,Yrke,,
1815,EllenTrotzig,Konstnär,Konstnär,Yrke,"{'comment': '1905', 'date': '1905'}","{'pin': {'lat': '55.556446', 'lon': '14.348063'}, 'place': 'Österlen'}"
1816,IdaTrotzig,Konstnär,Konstnär,Yrke,,
1817,GotaTragardh,Konstnärlig ledare,"Konstnärlig ledare, Gamlestadens Fabriker AB, Göteborg, Strömma Bomullsspinneri AB, Norrköping",Yrke,"{'comment': '1967', 'date': '1967'}",
1818,AnnaBirgittaTullberg,Professor,"Professor, fr o m 2013 prefekt, Zoologiska institutionen, Stockholms universitet",Yrke,"{'comment': '2002', 'date': '2002'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1819,MartaPernillaElisabethTunberger,Journalist,"Journalist, Dagens Nyheter",Yrke,"{'comment': '1937', 'date': '1937'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1820,KerstinSignildTunving,Sakkunnig,"Ledamot, Socialstyrelsens vetenskapliga råd i narkomanvård",Ideellt arbete,,
1821,AstridElisabethTykesson,Författare,"Skribent, litteraturkritiker, författare",Yrke,"{'comment': '1945', 'date': '1945'}",
1822,ViviTackholm,Botaniker,"Botaniker, visiting professor",Yrke,"{'comment': '1952', 'date': '1952'}","{'pin': {'lat': '30.0444196', 'lon': '31.23571160000006'}, 'place': 'Kairo, Egypten'}"
1823,HjordisTopel,Kontorist,Kontorist,Yrke,{'comment': '1940-talet'},"{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
1824,AidaMargaretaTornell,Översättare,Översättare,Yrke,{'comment': '1940-talet'},
1825,CatharinaChristinaUdden,Författare,Poet,Yrke,,"{'pin': {'lat': '61.305576', 'lon': '17.06281'}, 'place': 'Söderhamn'}"
1826,IngeborgUdden,Konstnär,"Konstnär, illustratör",Yrke,"{'comment': '1898', 'date': '1898'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1827,EmiliaEmilieMariaSaraSofiaUggla,Guvernant,Guvernant hos familjen Saint Cyr,Yrke,"{'comment': '1843', 'date': '1843'}","{'pin': {'lat': 58.6824291, 'lon': 12.5253136}, 'place': 'Mellerud'}"
1828,LouiseUlfhielm,Hovkanslist,Brevskrivare vid Stockholms slott,Yrke,{'comment': 'ca 1976'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1829,CeciliaUlfsdotter0,Donator,"Donator, olika kloster, främst Vadstena",Ideellt arbete,,
1830,KatarinaUlfsdotter0,Abbedissa,"Klosterföreståndare, abbedissa (ej invigd), Vadstena kloster",Yrke,"{'comment': '1374', 'date': '1374'}","{'pin': {'lat': 58.447602, 'lon': 14.890234}, 'place': 'Vadstena'}"
1831,HedvigUlfsparre,Formgivare,"Formgivare, ryamattor",Yrke,{'comment': '1920-talet'},
1832,CarinUlin,Psykolog,"Psykolog, Psykisk barn- och ungdomsvård (PBU, nuvarande BUP)",Yrke,"{'comment': '1936', 'date': '1936'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1833,EdithUnnerstad,Författare,,Yrke,"{'comment': '1932', 'date': '1932'}",
1834,EvaUpmark,,,,,
1835,HelenaCatharinaUtfall,Företagare,"Affärskvinna, bl a rederi och fastighetsaffärer",Yrke,{'comment': 'Ca 1723'},"{'pin': {'lat': 57.266988, 'lon': 12.334804}, 'place': 'Veddige'}"
1836,BirgittaValberg,Skådespelare,Skådespelare,Yrke,"{'comment': '1934', 'date': '1934'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1837,GunnelVallquist,Sakkunnig,"Ledamot, statliga bibelkommissionen",Yrke,"{'comment': '1973', 'date': '1973'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1838,DeboravanderPlas0,Företagare,Fartygsägare,Yrke,{'comment': '1660-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1839,IngridVangNyman,Konstnär,"Konstnär, illustratör",Yrke,{'comment': '1940-talet'},
1840,SigneVessman,Riksdagsledamot,"Riksdagsledamot, andra kammaren, för SAP",Yrke,"{'comment': '1925', 'date': '1925'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1841,IngaBodilVetterlund,Skådespelare,Skådespelare,Yrke,"{'comment': '1934', 'date': '1934'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1842,MargueriteViby,"Sångare, skådespelare","Sångare, skådespelare, film och teater",Yrke,"{'comment': '1928', 'date': '1928'}",
1843,AnnaLisaVinberg,Jurist,"Lagman, Sävedals tingsrätt",Yrke,"{'comment': '1971', 'date': '1971'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
1844,AnnaMariaVogel,Ansvarig utgivare,"Redaktör, ansvarig utgivare, Svensk Vanföre-Tidskrift",Yrke,"{'comment': '1923', 'date': '1923'}",
1845,AstridVaring,Författare,Författare,Yrke,"{'comment': '1926', 'date': '1926'}",
1846,KarinIreneVarmefjordBrandstrom,Polismästare,Polismästare,Yrke,"{'comment': '1981', 'date': '1981'}","{'pin': {'lat': 60.152358, 'lon': 15.191639}, 'place': 'Ludvika'}"
1847,DisaVastberg,Styrelseledamot,"Styrelseledamot, Arbetsmarknadsstyrelsen (AMS)",Yrke,"{'comment': '1948', 'date': '1948'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1848,BrittWadner,Företagare,"Grundare, ägare, Wadner Beach Hotel",Yrke,"{'comment': '1970', 'date': '1970'}","{'pin': {'lat': 13.454, 'lon': -16.5805}, 'place': 'Banjul, Gambia'}"
1849,TyraWadner,Lotta,"Grundare, Föreningen Stockholms Landstormskvinnor, senare den svenska Lottarörelsen",Yrke,"{'comment': '1924', 'date': '1924'}",
1850,MargaretaWadstein,Kommittéledamot,"Ledamot, bl a Europarådets kommission mot rasism och intolerans (ECRI), FN:s kommitté för mänskliga rättigheter",Yrke,{'comment': '?'},
1851,MarianneWahlberg,Tjänsteman,"Statssekreterare, Arbetsmarknadsdepartementet",Yrke,"{'comment': '1980', 'date': '1980'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1852,RagnhildWahlborg0,Lärare,Gymnastiklärare,Yrke,,"{'pin': {'lat': 9.01079, 'lon': 38.7613}, 'place': 'Addis Abeba, Etiopien'}"
1853,AnnaWahlenberg,Författare,,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1854,LydiaWahlstrom,Författare,Författare,Yrke,,
1855,IngerAdaminaWaldau0,Ekonom,"Ekonom, bl a åt Ditzingers textilföretag, Kommerskollegium m fl",Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1856,EvaSylviaWaldemarsson,Författare,Författare,Yrke,"{'comment': '1946', 'date': '1946'}",
1857,NellWalden,Författare,,Yrke,"{'comment': '1933', 'date': '1933'}",
1858,IngeborgWalin,Författare,"Läroböcker, kokböcker",Yrke,,
1859,IngridWallberg,Verkställande direktör,"Verkställande direktör, Wallbergs Fabriks AB",Yrke,"{'comment': '1955', 'date': '1955'}",
1860,AnnieWallen,Fotograf,"Fotograf, E. Jacobson fotoateljé, senare Anne Wallén Fotografiatelier",Yrke,"{'comment': '1910', 'date': '1910'}","{'pin': {'lat': 58.283489, 'lon': 12.285821}, 'place': 'Trollhättan'}"
1861,BeritWallenberg,Intendent,"Intendent, Lovö Hembygdsmuseum",Yrke,"{'comment': '1952', 'date': '1952'}","{'pin': {'lat': 59.279834, 'lon': 17.790225}, 'place': 'Ekerö'}"
1862,AnnaEleonoraCharlottaWallenberg,Styrelseledamot,"Styrelseledamot, Asylen för Pauvres Honteux (senare Hagahemmet)",Ideellt arbete,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1863,CatharinaWallenstedt,Hovdam,Kammarfröken hos drottning Kristina,Yrke,"{'comment': '1649', 'date': '1649'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1864,AgnesEmiliaElisabetAnnieWallentheim,Vice ordförande,"Vice ordförande, riksdagens revisorer",Yrke,"{'comment': '1968', 'date': '1968'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
